City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
516,San Giorgio Ionico,IT,74.8,overcast clouds,40.4566,17.3787,Villaggio San Giovanni
519,Marsh Harbour,BS,80.74,clear sky,26.5412,-77.0636,Abaco Beach Resort
520,Adolfo Lopez Mateos,MX,71.92,clear sky,28.4667,-107.3,Hotel Victor Inn
521,Anqing,CN,74.5,light rain,30.5092,117.0506,Hongtian Hotel
524,Chateaubelair,VC,86.61,scattered clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
526,Lubao,PH,82.42,overcast clouds,14.9167,120.55,Hacienda Gracia
528,Trairi,BR,82.26,broken clouds,-3.2778,-39.2689,janelas do mar
530,Meadow Lake,US,76.71,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
531,Foshan,CN,84.24,clear sky,23.0268,113.1315,"Marco Polo Lingnan Tiandi, Foshan"
532,Voi,KE,70.18,broken clouds,-3.3945,38.563,Voi Wildlife Lodge
534,Kapiri Mposhi,ZM,72.5,broken clouds,-13.9652,28.6809,MA 22 LODGE
537,Salalah,OM,83.14,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
